part_no,pooling_station,region,total_voters
Part_1,PRIMARY SCHOOL KHOKHAR R.NO.-1,KHOKHAR,858
Part_2,PRIMARY SCHOOL KHOKHAR R.NO.-2,KHOKHAR,1022
Part_3,PRIMARY SCHOOL KHOKHAR R.NO.-3,KHOKHAR,922
Part_4,PRIMARY SCHOOL KHOKHAR R.NO.-4,KHOKHAR,680
Part_5,PRIMARY SCHOOL MAKANPUR ROHI R.NO.-1,MAKANPUR,721
Part_6,PRIMARY SCHOOL MAKANPUR ROHI R.NO.-2,MAKANPUR,785
Part_7,PRIMARY SCHOOL NAJARIPUR R.NO.-1,NAJARIPUR,945
Part_8,PRIMARY SCHOOL NAJARIPUR R.NO.-2,NAJARIPUR,927
Part_9,PRIMARY SCHOOL NAJARIPUR R.NO.-3,NAJARIPUR,706
Part_10,PRIMARY SCHOOL NAJARIPUR R.NO.-4,NAJARIPUR,499
Part_11,PRIMARY SCHOOL JAGATPUR R.NO.-1,JAGATPUR,947
Part_12,PRIMARY SCHOOL JAGATPUR R.NO.-2,JAGATPUR,816
Part_13,PRIMARY SCHOOL UMRA MASHALA R.NO.-1,UMRA MASHALA,803
Part_14,PRIMARY SCHOOL UMRA MASHALA R.NO.-2,UMRA MASHALA,938
Part_15,PRIMARY SCHOOL METHU R.NO.-1,METHU,1008
Part_16,PRIMARY SCHOOL METHU K0S0-2,METHU,720
Part_17,PRIMARY SCHOOL METHU K0S0-3,METHU,1060
Part_18,PRIMARY SCHOOL METHU K0S0-4,METHU,789
Part_19,PTTI PRIMARY SCHOOL BIRBHDRPTTI DIVTIY R.NO.-1,BIRBHDR,611
Part_20,PTTI PRIMARY SCHOOL BIRBHDRPTTI DIVTIY R.NO.-2,BIRBHDR,589
Part_21,PTTI PRIMARY SCHOOL .BIRBHDRPTTI SITHT GRAM.,BIRBHDR,538
Part_22,PRIMARY SCHOOL KNKPUR R.NO.-1,KNKPUR,885
Part_23,PRIMARY SCHOOL KNKPUR R.NO.-2,KNKPUR,691
Part_24,PRIMARY SCHOOL BHIKHMAPUR R.NO.-1,BHIKHMAPUR,568
Part_25,PTTI PRIMARY SCHOOL BHIKHMAPUR R.NO.-2,DANUPUR,627
Part_26,PTTI UCHCH PRIMARY SCHOOL DANUPUR PTTI PSHICHM,DANUPUR,839
Part_27,PTTI UCHCH PRIMARY SCHOOL DANUPUR PTTI PSHICHM,DANUPUR,746
Part_28,PRIMARY SCHOOL JODHAPUR,ASYIPUR,681
Part_29,PRIMARY SCHOOL ASYIPUR,ASYIPUR,867
Part_30,PRIMARY SCHOOL DSHVTPUR K0S0-1,DSHVTPUR,900
Part_31,PRIMARY SCHOOL DSHVTPUR K0S0-2,DSHVTPUR,935
Part_32,PRIMARY SCHOOL DSHVTPUR K0S0-3,DSHVTPUR,866
Part_33,PRIMARY SCHOOL BIRMPUR R.NO.-1,BIRMPUR,976
Part_34,PRIMARY SCHOOL BIRMPUR R.NO.-2,BIRMPUR,691
Part_35,PRIMARY SCHOOL MINAPUR R.NO.-1,MINAPUR,798
Part_36,PRIMARY SCHOOL MINAPUR R.NO.-2,MINAPUR,467
Part_37,PRIMARY SCHOOL LOKMNPUR,LOKMNPUR,706
Part_38,PRIMARY SCHOOL VIJYIPUR,VIJYIPUR,748
Part_39,PRIMARY SCHOOL MINAPUR SITHT GRA.KNTIRAMPUR,KNTIRAMPUR,871
Part_40,PRIMARY SCHOOL AINCHH,AINCHH,1067
Part_41,DAKTR RAMMNOHR LOHIYA INTR KALEJ,BVI,805
Part_42,DAKTR RAMMNOHR LOHIYA INTR KALEJ,BVI,853
Part_43,DAKTR RAMMNOHR LOHIYA INTR KALEJ,BVI,1027
Part_44,PRIMARY SCHOOL BVI SITHT GRAM SRAYRUDDI,SRAYRUDDI,872
Part_45,RAMTVNKL INTR KALEJ ROHI K0NSN0-1,AKODHA,1013
Part_46,RAMTVNKL INTR KALEJ ROHI K0NSN0-2,AKODHA,779
Part_47,RAMTVNKL INTR KALEJ ROHI K0NSN0-3,AKODHA,697
Part_48,PRIMARY SCHOOL ROHI SHUKLAN R.NO.-1,ROHI,1014
Part_49,PRIMARY SCHOOL ROHI SHUKLAN R.NO.-2,ROHI,934
Part_50,COMPOSITE SCHOOL DSHRTHPUR BYAVN,DSHRTHPUR,1002
Part_51,COMPOSITE SCHOOL BYAVN R.NO.-1,BYAVN,777
Part_52,COMPOSITE SCHOOL BYAVN R.NO.-2,BYAVN,676
Part_53,PRIMARY SCHOOL CHKSARNATH R.NO.-1,CHKSARNATH,468
Part_54,PRIMARY SCHOOL CHKSARNATH R.NO.-2,CHKSARNATH,652
Part_55,SANI COMPOSITE SCHOOL HRIHRPUR MTUKA,HRIHRPUR,767
Part_56,PRIMARY SCHOOL PILKHUNA R.NO.-1,PILKHUNA,862
